timestamp,typing_chars_per_sec,eeg_engagement,outline_present,action
0,4.608,0.652,True,hold
1,4.402,0.774,True,hold
2,4.408,0.792,True,hold
3,3.253,0.409,True,hold
4,2.936,0.763,True,hold
5,4.295,0.671,True,hold
6,4.848,0.822,True,hold
7,2.626,0.809,True,hold
8,2.949,0.851,True,hold
9,2.686,0.887,True,hold
10,2.56,0.678,False,hold
11,2.602,0.32,False,hold
12,3.821,0.802,True,hold
13,4.275,0.847,False,hold
14,4.514,0.862,True,hold
15,2.865,0.867,False,hold
16,3.999,0.758,False,hold
17,4.443,0.682,True,hold
18,2.588,0.372,False,hold
19,2.454,0.625,False,hold
20,3.06,0.764,True,hold
21,3.094,0.726,True,hold
22,4.518,0.702,True,hold
23,3.429,0.765,True,hold
24,4.875,0.763,True,hold
25,0.67,0.778,True,hold
26,3.137,0.76,True,hold
27,3.903,0.538,False,hold
28,1.64,0.45,False,hold
29,2.887,0.727,True,hold
0,1.299,0.769,False,prompt
1,0.514,0.885,False,prompt
2,0.644,0.665,False,prompt
3,0.669,0.738,False,prompt
4,0.877,0.683,False,prompt
5,0.551,0.862,False,prompt
6,1.202,0.829,True,prompt
7,0.629,0.789,False,prompt
8,1.16,0.729,False,prompt
9,0.678,0.867,True,prompt
10,0.227,0.881,False,prompt
11,1.296,0.36,True,prompt
12,0.651,0.7,False,prompt
13,0.666,0.739,False,prompt
14,0.616,0.85,False,prompt
15,1.219,0.807,False,prompt
16,0.731,0.694,False,prompt
17,0.748,0.724,False,prompt
18,1.298,0.882,False,prompt
19,0.471,0.846,True,prompt
20,1.007,0.698,False,prompt
21,0.989,0.718,False,prompt
22,1.35,0.709,False,prompt
23,0.885,0.869,False,prompt
24,0.459,0.763,False,prompt
25,0.28,0.786,False,prompt
26,0.774,0.751,False,prompt
27,1.438,0.459,True,prompt
28,1.087,0.699,False,prompt
29,0.751,0.662,False,prompt
0,4.025,0.448,True,deny
1,3.898,0.212,True,deny
2,4.28,0.255,True,deny
3,4.458,0.142,False,deny
4,3.825,0.251,False,deny
5,2.722,0.426,True,deny
6,3.712,0.519,True,deny
7,3.137,0.436,True,deny
8,4.106,0.391,True,deny
9,2.55,0.342,False,deny
10,3.746,0.468,True,deny
11,2.664,0.464,True,deny
12,4.766,0.548,False,deny
13,1.684,0.484,False,deny
14,2.801,0.254,False,deny
15,2.989,0.528,True,deny
16,4.106,0.298,True,deny
17,3.312,0.49,True,deny
18,4.489,0.514,False,deny
19,2.948,0.106,False,deny
20,3.306,0.22,False,deny
21,4.034,0.361,True,deny
22,4.077,0.499,True,deny
23,3.071,0.509,True,deny
24,4.719,0.495,False,deny
25,3.069,0.438,False,deny
26,4.154,0.539,True,deny
27,4.503,0.352,False,deny
28,3.319,0.373,True,deny
29,2.624,0.419,True,deny
0,0.711,0.528,False,prompt
1,0.893,0.419,False,prompt
2,0.554,0.33,True,prompt
3,1.137,0.546,True,prompt
4,1.132,0.264,False,prompt
5,1.222,0.373,False,prompt
6,0.884,0.498,False,prompt
7,0.672,0.269,False,prompt
8,0.567,0.515,False,prompt
9,0.987,0.338,False,prompt
10,0.516,0.527,False,prompt
11,1.147,0.522,False,prompt
12,1.246,0.495,False,prompt
13,0.471,0.323,False,prompt
14,0.263,0.395,False,prompt
15,0.42,0.534,True,prompt
16,1.318,0.295,False,prompt
17,0.345,0.345,False,prompt
18,1.365,0.33,False,prompt
19,0.865,0.548,True,prompt
20,1.046,0.288,True,prompt
21,0.119,0.313,False,prompt
22,1.401,0.296,False,prompt
23,1.413,0.522,True,prompt
24,1.288,0.345,False,prompt
25,0.587,0.517,False,prompt
26,0.832,0.29,False,prompt
27,1.465,0.274,True,prompt
28,1.384,0.208,False,prompt
29,1.026,0.267,False,prompt
0,1.347,0.741,True,prompt
1,0.61,0.838,False,prompt
2,1.021,0.845,False,prompt
3,1.285,0.713,False,prompt
4,0.544,0.882,True,prompt
5,1.101,0.824,False,prompt
6,0.568,0.847,False,prompt
7,0.708,0.657,True,prompt
8,0.606,0.858,False,prompt
9,0.588,0.876,False,prompt
10,1.368,0.783,False,prompt
11,0.772,0.827,False,prompt
12,1.182,0.771,True,prompt
13,1.281,0.829,False,prompt
14,1.411,0.756,False,prompt
15,0.338,0.707,True,prompt
16,0.784,0.828,True,prompt
17,0.839,0.68,False,prompt
18,0.89,0.72,False,prompt
19,0.965,0.651,False,prompt
0,3.628,0.442,True,deny
1,2.643,0.227,False,deny
2,4.219,0.448,True,deny
3,3.397,0.472,False,deny
4,2.961,0.239,True,deny
5,2.121,0.294,True,deny
6,3.986,0.541,True,deny
7,2.855,0.393,True,deny
8,3.107,0.379,True,deny
9,1.372,0.533,False,deny
10,3.407,0.416,True,deny
11,2.908,0.523,True,deny
12,3.255,0.422,False,deny
13,2.93,0.33,False,deny
14,3.905,0.49,True,deny
15,3.6,0.283,True,deny
16,4.885,0.338,False,deny
17,2.502,0.532,True,deny
18,1.663,0.17,False,deny
19,4.723,0.211,False,deny
0,1.277,0.293,False,prompt
1,1.381,0.426,False,prompt
2,1.101,0.209,True,prompt
3,0.598,0.304,False,prompt
4,0.647,0.159,False,prompt
5,1.441,0.528,False,prompt
6,0.787,0.444,False,prompt
7,1.12,0.112,False,prompt
8,0.748,0.395,False,prompt
9,0.973,0.507,False,prompt
10,1.311,0.516,False,prompt
11,1.264,0.455,False,prompt
12,1.278,0.451,True,prompt
13,1.283,0.419,False,prompt
14,1.235,0.499,True,prompt
15,1.343,0.483,True,prompt
16,1.116,0.284,True,prompt
